token,offset,surprisal,openai_engine,model,id,created,string_id
If,0,,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 you,2,0.87989366,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 were,6,4.2398276,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 to,11,1.4037415,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 journey,14,9.422377,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 to,22,1.1547786,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 the,25,0.9397835,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 North,29,4.259043,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 of,35,3.1769495,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 England,38,2.3712523,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
",",46,0.87238437,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 you,47,0.9378647,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 would,51,0.6313517,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 come,57,3.861519,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 to,62,1.4384806,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 a,65,1.3422515,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 valley,67,5.642392,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 that,74,2.172978,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 is,79,1.2995577,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 surrounded,82,3.4163141,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 by,93,0.1077893,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 mo,96,5.8141413,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
ors,99,0.0028602446,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 as,102,7.2915473,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 high,105,3.714544,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 as,110,0.06882504,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 mountains,113,2.5065093,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
.,123,0.5007382,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 It,124,2.3362443,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 is,127,0.41383943,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 in,130,3.2049382,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 this,133,0.35712084,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 valley,138,0.36652756,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 where,145,3.2637916,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 you,151,1.5531782,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 would,155,1.0630206,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 find,161,0.2511514,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 the,166,0.99972403,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
 city,170,3.567952,curie,curie:2020-05-03,cmpl-4A731HZT6B7iqytFrSLIV2qqtMIsX,1638315719,1
