token,offset,surprisal,openai_engine,model,id,created,string_id
If,0,,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 you,2,0.7758407,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 were,6,4.331296,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 to,11,1.4600688,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 journey,14,10.102379,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 to,22,1.2783538,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 the,25,0.9621997,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 North,29,4.6278515,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 of,35,3.3782969,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 England,38,1.640069,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
",",46,0.9121248,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 you,47,0.96188843,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 would,51,0.9394344,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 come,57,3.1843932,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 to,62,1.9345886,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 a,65,0.9897926,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 valley,67,5.7465873,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 that,74,2.3368268,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 is,79,1.3793406,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 surrounded,82,2.5719175,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 by,93,0.16230899,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 mo,96,5.1545386,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
ors,99,0.0016638314,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 as,102,6.7788696,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 high,105,3.5359523,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 as,110,0.08709749,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
 mountains,113,1.2181395,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
.,123,0.68641025,davinci,davinci:2020-05-03,cmpl-4A6Z5yxvmloTkBLrW3pIJycAknmAr,1638313863,1_1
It,0,,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 is,2,1.7982724,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 in,5,4.8286433,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 this,8,1.7375207,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 valley,13,8.870831,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 where,20,3.0491502,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 you,26,3.0220187,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 would,30,5.558975,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 find,36,0.92241454,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 the,41,0.8141826,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 city,45,4.9548736,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 of,50,0.16733769,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 Bradford,53,9.0990095,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
",",62,0.9308789,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 where,63,3.5541475,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 once,69,5.6528153,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 a,74,2.3476348,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 thousand,76,7.13771,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 spinning,85,9.616345,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 j,94,5.2326055,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
enn,96,0.067955434,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
ies,99,0.062179524,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 that,102,6.563919,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 hum,107,3.4030828,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
med,111,0.1085171,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 and,114,1.6715224,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 cl,118,2.0941856,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
attered,121,1.3535551,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 spun,128,6.0601125,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
 wool,133,2.8753579,davinci,davinci:2020-05-03,cmpl-4A6Z5jtDIkJFve5C31C10gCH2ymay,1638313863,1_2
